milk is a kind of food  & (S (NP (NN milk)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN food)))))) 
a thermometer is a kind of instrument for measuring temperature  & (S (NP (DT a) (NN thermometer)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (PP (IN of) (NP (NN instrument))) (PP (IN for) (S (VP (VBG measuring) (NP (NN temperature))))))))) 
if an object is held under a substance then that object is touching that substance  & (S (SBAR (IN if) (S (NP (DT an) (NN object)) (VP (VBZ is) (VP (VBN held) (PP (IN under) (NP (DT a) (NN substance))))))) (RB then) (NP (DT that) (NN object)) (VP (VBZ is) (VP (JJ touching) (NP (DT that) (NN substance))))) 
humans building homes in an ecosystem has a negative impact on an ecosystem and organisms living in the ecosystem  & (S (NP (NP (NNS humans)) (VP (VBG building) (NP (NNS homes)) (PP (IN in) (NP (DT an) (NN ecosystem))))) (VP (VBZ has) (NP (NP (DT a) (JJ negative) (NN impact)) (PP (IN on) (NP (DT an) (NN ecosystem) (CC and) (NP (NNS organisms)) (VP (VBG living) (PP (IN in) (NP (DT the) (NN ecosystem))))))))) 
microorganisms cause food to spoil  & (S (NP (NNS microorganisms)) (VP (VBP cause) (S (NP (NN food)) (VP (TO to) (VP (VB spoil)))))) 
layers of fat are used by animals to survive in a cold environment  & (S (NP (NP (NNS layers)) (PP (IN of) (NP (NN fat)))) (VP (VBP are) (VP (VBN used) (PP (IN by) (NP (NNS animals))) (TO to) (VP (VB survive) (PP (IN in) (NP (DT a) (JJ cold) (NN environment))))))) 
lack of moisture in the air causes low amounts of rainfall  & (S (NP (NP (NN lack)) (PP (IN of) (NP (NP (NN moisture)) (PP (IN in) (NP (DT the) (NN air)))))) (VP (VBZ causes) (NP (NP (JJ low) (NNS amounts)) (PP (IN of) (NP (NN rainfall)))))) 
if an object is not moving it does not have any motion to counter  & (S (SBAR (IN if) (S (NP (DT an) (NN object)) (VP (VBZ is) (VP (RB not) (VP (VBG moving)))))) (NP (PRP it)) (VP (VBZ does) (RB not) (VP (VB have) (NP (DT any) (NN motion) (S (VP (TO to) (VP (VB counter)))))))) 
a vine is a kind of plant  & (S (NP (DT a) (NN vine)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN plant)))))) 
a plant stem is the vehicle for transporting water and food from roots to the rest of the plant  & (S (NP (DT a) (NN plant) (NN stem)) (VP (VBZ is) (NP (NP (DT the) (NN vehicle)) (PP (IN for) (S (VP (VBG transporting) (NP (NN water) (CC and) (NN food)) (PP (PP (IN from) (NP (NNS roots))) (PP (IN to) (NP (NP (DT the) (NN rest)) (PP (IN of) (NP (DT the) (NN plant)))))))))))) 
tuna eat fish  & (S (NP (NN tuna)) (VP (VBP eat) (NP (NN fish)))) 
removing something is a kind of impact  & (S (S (VP (VBG removing) (NP (NN something)))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN impact)))))) 
the respiratory system is used for exchanging oxygen and carbon dioxide between the body and the environment  & (S (NP (DT the) (JJ respiratory) (NN system)) (VP (VBZ is) (VP (VBN used) (PP (IN for) (S (VP (VBG exchanging) (NP (NP (NN oxygen)) (CC and) (NP (NN carbon) (NN dioxide))) (PP (IN between) (NP (NP (DT the) (NN body)) (CC and) (NP (DT the) (NN environment)))))))))) 
an egg requires warmth to survive  & (S (NP (DT an) (NN egg)) (VP (VBZ requires) (NP (NN warmth)) (TO to) (VP (VB survive)))) 
melting butter is a kind of phase change  & (S (NP (VBG melting) (NN butter)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN phase) (NN change)))))) 
a positive impact is a helpful effect  & (S (NP (DT a) (JJ positive) (NN impact)) (VP (VBZ is) (NP (DT a) (JJ helpful) (NN effect)))) 
howling is used to warn other wolves by wolves  & (S (NP (NN howling)) (VP (VBZ is) (VP (VBN used) (S (VP (TO to) (VP (VB warn) (NP (JJ other) (NNS wolves)) (PP (IN by) (NP (NNS wolves))))))))) 
as the temperature of a substance decreases the molecules in that substance will move slower and closer together  & (SBAR (IN as) (S (NP (NP (NP (DT the) (NN temperature)) (PP (IN of) (NP (DT a) (NN substance)))) (VP (VBZ decreases) (NP (NP (DT the) (NNS molecules)) (PP (IN in) (NP (DT that) (NN substance)))))) (MD will) (VP (VB move) (ADVP (RBR slower) (CC and) (RBR closer) (RB together))))) 
a cell is the smallest unit of an organism that can perform all of the processes of life  & (S (NP (DT a) (NN cell)) (VP (VBZ is) (NP (NP (DT the) (JJS smallest) (NN unit)) (PP (IN of) (NP (NP (DT an) (NN organism)) (SBAR (WHNP (WDT that)) (S (VP (MD can) (VP (VB perform) (NP (NP (DT all)) (PP (IN of) (NP (NP (DT the) (NNS processes)) (PP (IN of) (NP (NN life))))))))))))))) 
classifying means grouping objects by their properties  & (S (S (VP (VBG classifying))) (VP (VBZ means) (S (VP (VBG grouping) (NP (NNS objects)) (PP (IN by) (NP (PRP$ their) (NNS properties))))))) 
an animal being born when food is available and temperatures are warm has a positive impact on that animal s survival  & (S (NP (NP (DT an) (NN animal)) (VP (VBG being) (VP (VBN born) (SBAR (WHADVP (WRB when)) (S (NP (NN food)) (VP (VBZ is) (ADJP (JJ available))))))) (CC and) (S (NP (NNS temperatures)) (VP (VBP are) (ADJP (JJ warm))))) (VP (VBZ has) (NP (NP (DT a) (JJ positive) (NN impact)) (PP (IN on) (NP (DT that) (NN animal) (POS s) (NN survival)))))) 
soil is permeable  & (S (NP (NN soil)) (VP (VBZ is) (ADJP (JJ permeable)))) 
unit is similar to part  & (S (NP (NN unit)) (VP (VBZ is) (ADJP (JJ similar) (PP (IN to) (NP (NN part)))))) 
atomic number is only determined by the number of proton of an element  & (S (NP (JJ atomic) (NN number)) (VP (VBZ is) (ADVP (RB only)) (VBN determined) (PP (IN by) (NP (NP (DT the) (NN number)) (PP (IN of) (NP (NP (NNP proton)) (PP (IN of) (NP (DT an) (NN element))))))))) 
recycling has a positive impact on the environment by reducing trees that are cut  & (S (NP (NN recycling)) (VP (VBZ has) (NP (NP (DT a) (JJ positive) (NN impact)) (PP (IN on) (NP (DT the) (NN environment)))) (PP (IN by) (S (VP (VBG reducing) (NP (NP (NNS trees)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBN cut))))))))))) 
a child can slip more easily on the surface of ice  & (S (NP (DT a) (NN child)) (VP (MD can) (VP (VB slip) (ADVP (RBR more) (RB easily)) (PP (IN on) (NP (NP (DT the) (NN surface)) (PP (IN of) (NP (NN ice)))))))) 
loss of resources has a negative impact on the organisms in an area  & (S (NP (NP (NN loss)) (PP (IN of) (NP (NNS resources)))) (VP (VBZ has) (NP (NP (DT a) (JJ negative) (NN impact)) (PP (IN on) (NP (NP (DT the) (NNS organisms)) (PP (IN in) (NP (DT an) (NN area)))))))) 
sunlight is a kind of electromagnetic radiation that can shine through a window  & (S (NP (NN sunlight)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ electromagnetic) (NN radiation))) (SBAR (WHNP (WDT that)) (S (VP (MD can) (VP (VB shine) (PP (IN through) (NP (DT a) (NN window)))))))))) 
an example of heating something is heating a building  & (S (NP (DT an) (NN example)) (PP (IN of) (S (NP (VBG heating) (NN something)) (VP (VBZ is) (VP (VBG heating) (NP (DT a) (NN building))))))) 
seeing small things is difficult  & (S (S (VP (VBG seeing) (NP (JJ small) (NNS things)))) (VP (VBZ is) (ADJP (JJ difficult)))) 
sexual reproduction between genetically modified corn plants produces offspring with genetic material that produces a natural pesticide  & (S (NP (NP (JJ sexual) (NN reproduction)) (PP (IN between) (NP (ADJP (RB genetically) (VBN modified)) (NN corn) (NNS plants)))) (VP (VBZ produces) (NP (NP (NN offspring)) (PP (IN with) (NP (NP (JJ genetic) (NN material)) (SBAR (WHNP (WDT that)) (S (VP (VBZ produces) (NP (DT a) (JJ natural) (NN pesticide)))))))))) 
a wire is a kind of path for electricity  & (S (NP (DT a) (NN wire)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NP (NN path)) (PP (IN for) (NP (NN electricity)))))))) 
the intelligence of a human is an acquired characteristic  & (S (NP (NP (DT the) (NN intelligence)) (PP (IN of) (NP (DT a) (NN human)))) (VP (VBZ is) (NP (DT an) (VBN acquired) (NN characteristic)))) 
a tire is a kind of object  & (S (NP (DT a) (NN tire)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN object)))))) 
coal and oil are kinds of fossil fuels  & (S (NP (NN coal) (CC and) (NN oil)) (VP (VBP are) (NP (NP (NNS kinds)) (PP (IN of) (NP (JJ fossil) (NNS fuels)))))) 
shooting star is synonymous with meteor  & (S (S (VP (VBG shooting) (NP (NNP star)))) (VP (VBZ is) (ADJP (JJ synonymous) (PP (IN with) (NP (NN meteor)))))) 
Plantae is a kind of biological kingdom  & (S (NP (NNP Plantae)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ biological) (NN kingdom)))))) 
mass production requires assembly lines  & (S (NP (NNP mass) (NN production)) (VP (VBZ requires) (NP (NN assembly) (NNS lines)))) 
fluorine is a kind of halogen  & (S (NP (NN fluorine)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN halogen)))))) 
white flower is a recessive trait in snapdragon plant  & (S (NP (NNP white) (NNP flower)) (VP (VBZ is) (NP (NP (DT a) (JJ recessive) (NN trait)) (PP (IN in) (NP (NNP snapdragon) (NN plant)))))) 
to anchor means to provide support  & (S (VP (PP (TO to) (NP (NN anchor))) (VBZ means) (S (VP (TO to) (VP (VB provide) (NP (NN support))))))) 
a block is sliding down a ramp  & (S (NP (DT a) (NN block)) (VP (VBZ is) (VP (VBG sliding) (PP (IN down) (NP (DT a) (NN ramp)))))) 
the grand canyon is a kind of place  & (S (NP (DT the) (JJ grand) (NN canyon)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN place)))))) 
angstrom units can be used to measure the distance between atoms  & (S (NP (NNP angstrom) (NNS units)) (VP (MD can) (VP (VB be) (VP (VBN used) (S (VP (TO to) (VP (VB measure) (NP (NP (DT the) (NN distance)) (PP (IN between) (NP (NNS atoms))))))))))) 
different solids are combined physically  & (S (NP (JJ different) (NNS solids)) (VP (VBP are) (VP (VBN combined) (ADVP (RB physically))))) 
a rainbow is more easily to be formed after the rain through light refraction  & (S (NP (DT a) (NN rainbow)) (VP (VBZ is) (ADVP (RBR more) (RB easily)) (TO to) (VP (VB be) (VP (VBN formed) (IN after) (NP (DT the) (NN rain)) (PP (IN through) (NP (JJ light) (NN refraction))))))) 
plants can produce acid  & (S (NP (NNS plants)) (VP (MD can) (VP (VB produce) (NP (NN acid))))) 
an alligator is a kind of carnivore  & (S (NP (DT an) (NN alligator)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN carnivore)))))) 
as the time a tool lasts increases the number of tools discarded will decrease  & (SBAR (IN as) (NP (NP (DT the) (NN time)) (SBAR (S (NP (DT a) (NN tool)) (VP (VBZ lasts))))) (VBZ increases) (NP (NP (DT the) (NN number)) (PP (IN of) (NP (NP (NNS tools)) (VP (VBN discarded))))) (MD will) (VP (VB decrease))) 
fertilizers have a positve impact on algae growth in a lake  & (S (NP (NNS fertilizers)) (VP (VBP have) (NP (NP (DT a) (NN positve) (NN impact)) (PP (IN on) (NP (NP (NN algae) (NN growth)) (PP (IN in) (NP (DT a) (NN lake)))))))) 
steep drop in ocean volume and area has a negative impact on the ocean ecosystem  & (S (NP (NP (JJ steep) (NN drop)) (PP (IN in) (NP (NN ocean) (NN volume) (CC and) (NN area)))) (VP (VBZ has) (NP (NP (DT a) (JJ negative) (NN impact)) (PP (IN on) (NP (DT the) (NN ocean) (NN ecosystem)))))) 
animals are a part of the ecosystem  & (S (NP (NNS animals)) (VP (VBP are) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (DT the) (NN ecosystem)))))) 
conducting is a kind of function  & (S (S (VP (VBG conducting))) (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN function))))) 
a leaf uses chlorophyll to produce sugar  & (S (NP (DT a) (NN leaf)) (VP (VBZ uses) (NP (NN chlorophyll)) (S (VP (TO to) (VP (VB produce) (NP (NN sugar))))))) 
a fan is a kind of appliance  & (S (NP (DT a) (NN fan)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN appliance)))))) 
breaking a part of the body means breaking a bone in that part of the body  & (S (S (VP (VBG breaking) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (DT the) (NN body)))))) (VBZ means) (S (VP (VBG breaking) (NP (DT a) (NN bone)) (PP (IN in) (NP (NP (DT that) (NN part)) (PP (IN of) (NP (DT the) (NN body)))))))) 
an unknown object can attract a paper clip  & (S (NP (DT an) (JJ unknown) (NN object)) (VP (MD can) (VP (VB attract) (NP (DT a) (NN paper) (NN clip))))) 
humans moving to beach usually causes native species to lose their habitats  & (S (NP (NP (NNS humans)) (VP (VBG moving) (PP (TO to) (NP (NN beach))))) (ADVP (RB usually)) (VBZ causes) (S (NP (JJ native) (NNS species)) (VP (TO to) (VP (VB lose) (NP (PRP$ their) (NNS habitats)))))) 
solar cells and computer chips are made of silicon  & (S (NP (NP (JJ solar) (NNS cells)) (CC and) (NP (NN computer) (NNS chips))) (VP (VBP are) (VP (VBN made) (PP (IN of) (NP (NN silicon)))))) 
starch is a kind of complex carbohydrate  & (S (NP (NN starch)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ complex) (NN carbohydrate)))))) 
roots are used for absorbing nutrients from soil  & (S (NP (NNS roots)) (VP (VBP are) (VP (VBN used) (PP (IN for) (S (VP (VBG absorbing) (NP (NNS nutrients)) (PP (IN from) (NP (NN soil))))))))) 
the sun is the source of energy for physical cycles on Earth  & (S (NP (DT the) (NN sun)) (VP (VBZ is) (NP (DT the) (NN source)) (PP (IN of) (NP (NN energy))) (IN for) (NP (NP (JJ physical) (NNS cycles)) (PP (IN on) (NP (NNP Earth)))))) 
sand is a kind of substance  & (S (NP (NN sand)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN substance)))))) 
if grass and shrubs are removed then the amount of food energy produced in that ecosystem decreases  & (S (IN if) (NP (NN grass) (CC and) (NNS shrubs)) (VP (VBP are) (VP (VBN removed) (ADVP (RB then)) (NP (NP (NP (DT the) (NN amount)) (PP (IN of) (NP (NP (NN food) (NN energy)) (VP (VBN produced) (PP (IN in) (NP (DT that) (NN ecosystem))))))) (VP (VBZ decreases)))))) 
electricity causes less pollution than gasoline  & (S (NP (NN electricity)) (VP (VBZ causes) (NP (NP (JJR less) (NN pollution)) (PP (IN than) (NP (NN gasoline)))))) 
some raccoons live in hollow logs  & (S (NP (DT some) (NNS raccoons)) (VP (VBP live) (PP (IN in) (NP (JJ hollow) (NNS logs))))) 
in the flowering plant life cycle flowering is part of reproduction  & (S (IN in) (NP (DT the) (JJ flowering) (NN plant) (NN life) (NN cycle) (NN flowering)) (VP (VBZ is) (NP (NP (NN part)) (PP (IN of) (NP (NN reproduction)))))) 
the digestive system breaks down food into the substances it contains  & (S (NP (DT the) (JJ digestive) (NN system)) (VP (VBZ breaks) (PRT (RP down)) (NP (NN food)) (PP (IN into) (NP (NP (DT the) (NNS substances)) (SBAR (S (NP (PRP it)) (VP (VBZ contains)))))))) 
gold and mercury are different in a physical property  & (S (NP (NN gold) (CC and) (NNP mercury)) (VP (VBP are) (ADJP (JJ different)) (PP (IN in) (NP (DT a) (JJ physical) (NN property))))) 
larger means increased size  & (S (JJR larger) (NNS means) (NP (VBN increased) (NN size))) 
glacial movement often causes bedrock to appear polished  & (S (NP (JJ glacial) (NNP movement)) (ADVP (RB often)) (VP (VBZ causes) (S (NP (NN bedrock)) (VP (TO to) (VP (VB appear) (ADJP (JJ polished))))))) 
the pressure at the center of the earth is extremely high  & (S (NP (NP (DT the) (NN pressure)) (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN earth)))))) (VBZ is) (ADJP (RB extremely) (JJ high))) 
fire causes burning  & (S (NP (NN fire) (NNS causes)) (VP (VBG burning))) 
an elephant is a kind of animal species  & (S (NP (DT an) (NN elephant)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN animal) (NNS species)))))) 
an astronaut will weigh less on the moon than on earth because the moon has less mass than the earth  & (S (NP (DT an) (NN astronaut)) (VP (MD will) (VP (VB weigh) (ADVP (RBR less)) (PP (IN on) (NP (DT the) (NN moon))) (PP (IN than) (PP (IN on) (NP (NN earth)))) (IN because) (S (NP (DT the) (NN moon)) (VP (VBZ has) (NP (NP (JJR less) (NN mass)) (PP (IN than) (NP (DT the) (NN earth))))))))) 
boiling is a kind of event  & (S (S (VP (VBG boiling))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN event)))))) 
the supply of solar energy will not change over a long period of time  & (S (NP (NP (DT the) (NN supply)) (PP (IN of) (NP (JJ solar) (NN energy)))) (VP (MD will) (RB not) (VP (VB change) (PP (IN over) (NP (NP (DT a) (JJ long) (NN period)) (PP (IN of) (NP (NN time)))))))) 
the excretory system performs excretion  & (S (NP (DT the) (NNP excretory) (NN system)) (VP (VBZ performs) (NP (NN excretion)))) 
quarts qt is a imperial unit used for measuring volume  & (S (NP (NP (NNS quarts)) (NNP qt)) (VP (VBZ is) (NP (NP (DT a) (JJ imperial) (NN unit)) (VP (VBN used) (PP (IN for) (S (VP (VBG measuring) (NP (NN volume))))))))) 
melted marshmallow is a kind of food  & (S (NP (JJ melted) (NNP marshmallow)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN food)))))) 
deforestation causes the production of oxygen to decrease  & (S (NP (NN deforestation)) (VP (VBZ causes) (S (NP (NP (DT the) (NN production)) (PP (IN of) (NP (NN oxygen)))) (VP (TO to) (VP (VB decrease)))))) 
to retain means to remain  & (S (VP (TO to) (VP (VB retain) (S (VP (VBZ means) (S (VP (TO to) (VP (VB remain))))))))) 
a mountain is a kind of environment  & (S (NP (DT a) (NN mountain)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN environment)))))) 
a parrot is a kind of organism  & (S (NP (DT a) (NN parrot)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN organism)))))) 
high pressure systems can cause sunny weather  & (S (NP (JJ high) (NN pressure) (NNS systems)) (VP (MD can) (VP (VB cause) (NP (JJ sunny) (NN weather))))) 
boiling means the volume of a liquid decreases  & (S (NP (NN boiling)) (VP (VBZ means) (NP (NP (DT the) (NN volume)) (PP (IN of) (NP (NP (DT a) (JJ liquid)) (NNS decreases)))))) 
the number of cells in the adult gorilla is more than the number of cells in the baby gorilla  & (S (NP (NP (DT the) (NN number)) (PP (IN of) (NP (NNS cells))) (PP (IN in) (NP (DT the) (NN adult) (NN gorilla)))) (VBZ is) (NP (NP (JJR more)) (IN than) (NP (NP (DT the) (NN number)) (PP (IN of) (NP (NNS cells))) (PP (IN in) (NP (DT the) (NN baby) (NN gorilla)))))) 
salt water is placed in sunlight for a day  & (S (NP (NN salt) (NN water)) (VP (VBZ is) (VP (VBN placed) (PP (IN in) (NP (NN sunlight))) (PP (IN for) (NP (DT a) (NN day)))))) 
december is during the winter for new york state  & (S (NP (NNP december)) (VP (VBZ is) (PP (IN during) (NP (DT the) (NN winter)) (PP (IN for) (NP (NNP new) (NNP york) (NN state)))))) 
An example of an instinct is the kangaroo s ability to crawl into its mother s pouch to drink milk  & (S (NP (NP (DT An) (NN example)) (PP (IN of) (NP (DT an) (NN instinct)))) (VP (VBZ is) (NP (NP (DT the) (NNP kangaroo) (NNP s)) (NN ability) (S (VP (TO to) (VP (VB crawl) (PP (IN into) (NP (PRP$ its) (NN mother) (NN s) (NN pouch))) (S (VP (TO to) (VP (VB drink) (NP (NN milk))))))))))) 
to make something easier means to help  & (S (VP (TO to) (VP (VB make) (NP (NP (NN something)) (ADJP (JJR easier))) (VBZ means) (S (VP (TO to) (VP (VB help))))))) 
a waxing crescent is a kind of phase of the moon  & (S (NP (DT a) (VBG waxing) (NN crescent)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NP (NN phase)) (PP (IN of) (NP (DT the) (NN moon)))))))) 
to send means to transfer  & (S (VP (TO to) (VP (VB send) (NP (NP (NNS means)) (SBAR (S (VP (TO to) (VP (VB transfer))))))))) 
